Chromosome	Position	3142	ARI	ARI.MG	B41	B73	BLANK	CAST	COUG	GT1	M7741	ME49	P89	PRU	RAY	RH-88	ROD	SOU	TGGOATUS21	TGSHUS28	TGSK	VEG
@TGME49_CHRXII	380000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXI	0	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	10000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	20000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	30000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	40000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	50000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	60000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	70000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	80000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	90000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	100000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	110000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	120000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	130000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	140000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	150000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	160000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	170000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	180000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	190000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	200000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	210000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	220000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	230000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	240000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	250000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	260000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	270000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	280000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	290000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	300000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	310000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	320000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	330000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	340000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	350000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	360000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	370000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	380000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	390000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	400000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXI	410000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
